"","Location","SKU","OfferTermCode","RateCode","TermType","PriceDescription","EffectiveDate","StartingRange","EndingRange","Unit","PricePerUnit","Currency","RelatedTo","LeaseContractLength","PurchaseOption","OfferingClass","Product.Family","serviceCode","Location.Type","Instance.Type","Current.Generation","Instance.Family","vCPU","Physical.Processor","Clock.Speed","Memory","Storage","Network.Performance","Processor.Architecture","Storage.Media","Volume.Type","Min.Volume.Size","Max.Volume.Size","Engine.Code","Database.Engine","Database.Edition","License.Model","Deployment.Option","Group","Group.Description","Transfer.Type","From.Location","From.Location.Type","To.Location","To.Location.Type","usageType","operation","Dedicated.EBS.Throughput","Enhanced.Networking.Supported","Processor.Features","Region","Endpoint","Protocol"
"11","Asia Pacific (Mumbai)","PXXAH6CUZX4VYE6G","HU7G6KETJZ","PXXAH6CUZX4VYE6G.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",8646,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.r3.8xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"12","Asia Pacific (Mumbai)","ECKMUXTENKV53FHR","HU7G6KETJZ","ECKMUXTENKV53FHR.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m4.2xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.808,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.2xlarge","Yes","General purpose",8,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","32 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.m4.2xlarge","CreateDBInstance:0014","1000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"13","Asia Pacific (Mumbai)","DKM67PTRFVYTS7PC","HU7G6KETJZ","DKM67PTRFVYTS7PC.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",883,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.xlarge","Yes","General purpose",4,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","16 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.m4.xlarge","CreateDBInstance:0014","750 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"14","Asia Pacific (Mumbai)","F7ECSXS5VZNP8T24","HU7G6KETJZ","F7ECSXS5VZNP8T24.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m4.large instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.2,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.large","Yes","General purpose",2,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS Only","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.m4.large","CreateDBInstance:0014","450 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"15","Asia Pacific (Mumbai)","JEHNK88XJCEHHPZE","HU7G6KETJZ","JEHNK88XJCEHHPZE.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",3544,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.4xlarge","Yes","General purpose",16,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","64 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.m4.4xlarge","CreateDBInstance:0014","2000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"16","Asia Pacific (Mumbai)","9GGY72VP9NDSZN2M","HU7G6KETJZ","9GGY72VP9NDSZN2M.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.4xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.95,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.4xlarge","Yes","Memory optimized",16,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","1 x 320 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.r3.4xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"17","Asia Pacific (Mumbai)","6WXR5FQT62XU2C9K","HU7G6KETJZ","6WXR5FQT62XU2C9K.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.small instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.051,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.small","Yes","General purpose",1,"Intel Xeon Family","Up to 3.3 GHz","2 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.t2.small","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"18","Asia Pacific (Mumbai)","9UHUB9QTKQYDWAAW","HU7G6KETJZ","9UHUB9QTKQYDWAAW.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.medium instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.052,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.medium","Yes","General purpose",2,"Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.t2.medium","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"19","Asia Pacific (Mumbai)","GG9HMU7EE7CT5QHQ","HU7G6KETJZ","GG9HMU7EE7CT5QHQ.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.4xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",1.9,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.4xlarge","Yes","Memory optimized",16,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","122 GiB","1 x 320 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.r3.4xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"20","Asia Pacific (Mumbai)","Z5Z486ZK88X22VKU","HU7G6KETJZ","Z5Z486ZK88X22VKU.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.481,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.xlarge","Yes","Memory optimized",4,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","30.5 GiB","1 x 80 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.r3.xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"21","Asia Pacific (Mumbai)","SUN7RA4D95GMBUPP","HU7G6KETJZ","SUN7RA4D95GMBUPP.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",8853,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.10xlarge","Yes","General purpose",40,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","160 GiB","EBS Only","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.m4.10xl","CreateDBInstance:0014","4000 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"22","Asia Pacific (Mumbai)","DKM67PTRFVYTS7PC","HU7G6KETJZ","DKM67PTRFVYTS7PC.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.m4.xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.203,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.xlarge","Yes","General purpose",4,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","16 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.m4.xlarge","CreateDBInstance:0014","750 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"23","Asia Pacific (Mumbai)","6GV285JQCXZXHC35","HU7G6KETJZ","6GV285JQCXZXHC35.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",1766,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.xlarge","Yes","General purpose",4,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","16 GiB","EBS Only","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.m4.xlarge","CreateDBInstance:0014","750 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"24","Asia Pacific (Mumbai)","Q9CNCW63D6PC3KHB","HU7G6KETJZ","Q9CNCW63D6PC3KHB.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",500,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.medium","Yes","General purpose",2,"Intel Xeon Family","Up to 3.3 GHz","4 GiB","EBS Only","Low to Moderate","32-bit or 64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.t2.medium","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"25","Asia Pacific (Mumbai)","FRBW4MCTAZMENJNQ","HU7G6KETJZ","FRBW4MCTAZMENJNQ.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",4320,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.r3.2xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"26","Asia Pacific (Mumbai)","M44BY8PHCBG8SB9M","HU7G6KETJZ","M44BY8PHCBG8SB9M.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.t2.large instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.103,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.large","Yes","General purpose",2,"Intel Xeon Family","Up to 3.0 GHz","8 GiB","EBS Only","Low to Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.t2.large","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"27","Asia Pacific (Mumbai)","DASFQ2R7APURZVJU","HU7G6KETJZ","DASFQ2R7APURZVJU.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",542,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.large","Yes","Memory optimized",2,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","15.25 GiB","1 x 32 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.r3.large","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"28","Asia Pacific (Mumbai)","NDTCKCXUW336EAWS","HU7G6KETJZ","NDTCKCXUW336EAWS.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",442,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.m4.large","Yes","General purpose",2,"Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","8 GiB","EBS Only","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.m4.large","CreateDBInstance:0014","450 Mbps","Yes","Intel AVX; Intel AVX2; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"29","Asia Pacific (Mumbai)","JEY928NJXN8HH8VT","HU7G6KETJZ","JEY928NJXN8HH8VT.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",1084,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.large","Yes","Memory optimized",2,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","15.25 GiB","1 x 32 SSD","Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.r3.large","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"30","Asia Pacific (Mumbai)","M44BY8PHCBG8SB9M","HU7G6KETJZ","M44BY8PHCBG8SB9M.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",500,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.t2.large","Yes","General purpose",2,"Intel Xeon Family","Up to 3.0 GHz","8 GiB","EBS Only","Low to Moderate","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.t2.large","CreateDBInstance:0014","","","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"31","Asia Pacific (Mumbai)","GKVJ24P4MUPJGYZT","HU7G6KETJZ","GKVJ24P4MUPJGYZT.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.2xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",0.478,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.r3.2xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"32","Asia Pacific (Mumbai)","GKVJ24P4MUPJGYZT","HU7G6KETJZ","GKVJ24P4MUPJGYZT.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",2160,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.2xlarge","Yes","Memory optimized",8,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","61 GiB","1 x 160 SSD","High","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.r3.2xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"33","Asia Pacific (Mumbai)","CTEYYWWN3JB7JMDY","HU7G6KETJZ","CTEYYWWN3JB7JMDY.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.8xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",3.798,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.r3.8xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"34","Asia Pacific (Mumbai)","PXXAH6CUZX4VYE6G","HU7G6KETJZ","PXXAH6CUZX4VYE6G.HU7G6KETJZ.6YS6EN2CT7","Reserved","PostgreSQL, db.r3.8xlarge instance-hours used this month","2016-11-30",0,Inf,"Hrs",1.899,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Single-AZ","","","","","","","","APS3-InstanceUsage:db.r3.8xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
"35","Asia Pacific (Mumbai)","CTEYYWWN3JB7JMDY","HU7G6KETJZ","CTEYYWWN3JB7JMDY.HU7G6KETJZ.2TG2D8R56U","Reserved","Upfront Fee","2016-11-30",NA,NA,"Quantity",17292,"USD","","1yr","Partial Upfront","standard","Database Instance","AmazonRDS","AWS Region","db.r3.8xlarge","Yes","Memory optimized",32,"Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","244 GiB","2 x 320 SSD","10 Gigabit","64-bit","","","","",14,"PostgreSQL","","No license required","Multi-AZ","","","","","","","","APS3-Multi-AZUsage:db.r3.8xlarge","CreateDBInstance:0014","","Yes","Intel AVX; Intel Turbo","ap-south-1","ec2.ap-south-1.amazonaws.com","HTTP and HTTPS"
